iter	Passed	Remaining
645	30335	16623
646	30364	16566
647	30398	16512
648	30431	16458
649	30465	16404
650	30496	16349
651	30530	16295
652	30558	16238
653	30587	16182
654	30619	16127
655	30646	16070
656	30678	16016
657	30711	15962
658	30748	15910
659	30785	15859
660	30820	15806
661	30853	15753
662	30881	15697
663	30914	15643
664	30946	15589
665	30981	15537
666	31012	15482
667	31044	15429
668	31078	15376
669	31109	15322
670	31140	15268
671	31173	15215
672	31206	15162
673	31236	15108
674	31270	15056
675	31305	15004
676	31337	14951
677	31367	14897
678	31398	14843
679	31434	14792
680	31475	14743
681	31523	14698
682	31565	14650
683	31585	14592
684	31610	14536
685	31631	14478
686	31689	14437
687	31742	14394
688	31778	14344
689	31808	14290
690	31841	14238
691	31869	14184
692	31900	14131
693	31927	14077
694	31955	14023
695	31981	13968
696	32015	13917
697	32043	13863
698	32076	13812
699	32116	13764
700	32150	13713
701	32189	13664
702	32233	13617
703	32269	13567
704	32304	13517
705	32339	13467
706	32375	13417
707	32408	13366
708	32453	13319
709	32485	13268
710	32521	13218
711	32559	13170
712	32605	13124
713	32648	13077
714	32688	13029
715	32731	12982
716	32769	12934
717	32808	12885
718	32839	12834
719	32870	12782
720	32902	12731
721	32933	12680
722	32959	12627
723	32987	12575
724	33017	12523
725	33050	12473
726	33079	12421
727	33111	12371
728	33137	12318
729	33166	12266
730	33195	12215
731	33226	12164
732	33259	12115
733	33290	12064
734	33319	12013
735	33348	11961
736	33377	11910
737	33404	11858
738	33437	11809
739	33470	11759
740	33505	11710
741	33531	11659
742	33565	11610
743	33598	11560
744	33631	11511
745	33659	11460
746	33690	11410
747	33721	11360
748	33756	11312
749	33792	11264
750	33821	11213
751	33853	11164
752	33889	11116
753	33918	11066
754	33949	11016
755	33984	10968
756	34012	10918
757	34042	10868
758	34068	10817
759	34098	10768
760	34130	10718
761	34157	10668
762	34194	10621
763	34227	10572
764	34253	10522
765	34295	10476
766	34329	10428
767	34370	10382
768	34403	10334
769	34445	10288
770	34483	10242
